Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions
Achille,2,1,Spin,15/06/2022,,,,Spin,0,
Achille,2,2,Tail wave,15/06/2022,,,,Tail wave,0,
Achille,2,3,Clap,16/06/2022,,,,Belly up,0,
Achille,2,4,Belly up,17/06/2022,,,,Belly up,0,
Achille,2,5,Clap,19/06/2022,,,,Clap,0,
Achille,2,6,Tail wave,20/01/1900,,,,Tail wave,0,
Achille,2,7,Spin,21/06/2022,,,,Spin,0,
Achille,2,8,Belly up,22/06/2022,,,,Belly up,0,
Achille,2,9,Spin,28/06/2022,,,,Spin,0,
Achille,2,10,Clap,29/06/2022,,,,Clap,0,
Achille,2,11,Tail wave,30/06/2022,,,,Tail wave,0,
Achille,2,12,Belly up,01/07/2022,,,,Clap,0,
Achille,2,13,Spin,07/07/2022,,,,Belly up,0,
Achille,2,14,Clap,08/07/2022,,,,Clap,0,
Achille,2,15,Belly up,09/07/2022,,,,Belly up,0,
Achille,2,16,Tail wave,10/07/2022,,,,Tail wave,0,
Achille,2,17,Spin,11/07/2022,,,,Tail wave,0,
Achille,2,18,Clap,12/07/2022,,,,Clap,0,
Achille,2,19,Belly up,13/07/2022,,,,Belly up,0,
Achille,2,20,Tail wave,13/07/2022,,,,Tail wave,0,
Ulisse,2,1,Spin,16/06/2022,,,,Spin,0,
Ulisse,2,2,Tail wave,20/06/2022,,,,Tail wave,0,
Ulisse,2,3,Clap,21/06/2022,,,,Clap,0,
Ulisse,2,4,Belly up,22/06/2022,,,,Belly up,0,
Ulisse,2,5,Clap,24/06/2022,,,,Clap,0,
Ulisse,2,6,Tail wave,25/06/2022,,,,Tail wave,0,
Ulisse,2,7,Spin,29/06/2022,,,,Spin,0,
Ulisse,2,8,Belly up,30/06/2022,,,,Belly up,0,
Ulisse,2,9,Spin,01/07/2022,,,,Spin,0,
Ulisse,2,10,Clap,02/07/2022,,,,Belly up,0,
Ulisse,2,11,Tail wave,05/07/2022,,,,Tail wave,0,
Ulisse,2,12,Belly up,08/07/2022,,,,Belly up,0,
Ulisse,2,13,Spin,08/07/2022,,,,Spin,0,
Ulisse,2,14,Clap,12/07/2022,,,,Clap,0,
Ulisse,2,15,Belly up,14/07/2022,,,,Tail wave,0,
Ulisse,2,16,Tail wave,14/07/2022,,,,Tail wave,0,
Ulisse,2,17,Spin,15/07/2022,,,,Spin,0,
Ulisse,2,18,Clap,15/07/2022,,,,Clap,0,
Ulisse,2,19,Belly up,16/07/2022,,,,Clap,0,
Ulisse,2,20,Tail wave,16/07/2022,,,,Tail wave,0,
Achille,1,1,Spin,,,,,Spin,,
Achille,1,2,Tail wave,,,,,Tail wave,,
Achille,1,3,Clap,,,,,Clap,,
Achille,1,4,Belly up,,,,,Belly up,,
Achille,1,5,Clap,,,,,Clap,,
Achille,1,6,Tail wave,,,,,Tail wave,,
Achille,1,7,Spin,,,,,Spin,,
Achille,1,8,Belly up,,,,,Belly up,,
Achille,1,9,Spin,,,,,Spin,,
Achille,1,10,Clap,,,,,Clap,,
Achille,1,11,Tail wave,,,,,Tail wave,,
Achille,1,12,Belly up,,,,,Belly up,,
Achille,1,13,Spin,,,,,Spin,,
Achille,1,14,Clap,,,,,Clap,,
Achille,1,15,Belly up,,,,,Belly up,,
Achille,1,16,Tail wave,,,,,Tail wave,,
Achille,1,17,Spin,,,,,Spin,,
Achille,1,18,Clap,,,,,Clap,,
Achille,1,19,Belly up,,,,,Belly up,,
Achille,1,20,Tail wave,,,,,Tail wave,,
Ulisse,1,1,Spin,,,,,Spin,,
Ulisse,1,2,Tail wave,,,,,Tail wave,,
Ulisse,1,3,Clap,,,,,Clap,,
Ulisse,1,4,Belly up,,,,,Belly up,,
Ulisse,1,5,Clap,,,,,Clap,,
Ulisse,1,6,Tail wave,,,,,Tail wave,,
Ulisse,1,7,Spin,,,,,Spin,,
Ulisse,1,8,Belly up,,,,,Belly up,,
Ulisse,1,9,Spin,,,,,Spin,,
Ulisse,1,10,Clap,,,,,Clap,,
Ulisse,1,11,Tail wave,,,,,Tail wave,,
Ulisse,1,12,Belly up,,,,,Belly up,,
Ulisse,1,13,Spin,,,,,Spin,,
Ulisse,1,14,Clap,,,,,Clap,,
Ulisse,1,15,Belly up,,,,,Belly up,,
Ulisse,1,16,Tail wave,,,,,Tail wave,,
Ulisse,1,17,Spin,,,,,Spin,,
Ulisse,1,18,Clap,,,,,Clap,,
Ulisse,1,19,Belly up,,,,,Belly up,,
Ulisse,1,20,Tail wave,,,,,Tail wave,,
